quote,author,emotion
"The moment a soldier dons his uniform, he accepts that he might be buried in it.",King Bradley,general
Huh?!? Aliens!? What kind of a person believes in aliens anyway?! I know. A STUPID ONE.,Maebara Keiichi,hope
I never feel more human than when I'm fighting real monsters.,Roy Mustang,general
"If you have time to think of a beautiful end, then live beautifully until the end.",Gintoki Sakata,mindfulness
Look straight at the people you kill,Solf J. Kimblee,general
The gush from my fountain of wisdom told me.,Victorique de Blois,wisdom
"C'mon, there is no such thing as gross stuff in this world...  Except for GROSSLY CUTE things.",Fuura Kafuka,general
So she knows how to smile.,Kento Miura,happiness
He feared sleep. He'd say that his soul would slip down into nothing. They say that man never dreamt after the day he cut his pillow.,Ginko,anxiety
"I'm sorry, but I never lose to the same opponent twice.",Fuji Shuusuke,general
"We are perfect for each other! She's strong, I'm strong. She's fun, I'm fun. She's beautiful... I'm GORGEOUS!",Bolin,general
"Sooo... Korra. There they go, here we are, all alone in the gym... just you and me... TWO, alone people. Together. Alone.",Bolin,grief
There's no such thing as a perfect person in this world.,Shinichi Kudou,general
"So, are you stupid enough to fall for such a stupid trap that such stupid people set up?",Roronoa Zoro,general
What good is this cursed hand if I can't protect the woman I love?,Miroku,love
I have no use for a religion that's been forsaken by its own god.,Maes Hughes,general
Even a piece of garbage has its pride.,Roy Mustang,general
"Everyone's gonna die. It's a natural part of life. But if life has no purpose, you're dead already.",Kiba,general
"Let's just say... what's mine is mine, and what's yours... is also mine.",Hajime Saitou,general
Why is it?.. I'm so sad and so lonely. But the tears just won't come.,Lucy Heartfilia,grief
Dreams start by believing.,Haruhi Suzumiya,motivation
You can only disgrace the dead so much.,Ciel Phantomhive,general
I don't care if it is fortunate or unfortunate that Light picked up the Death Note. However... It is generally bad luck for a person to be followed by a God of Death.,Ryuk,grief
"To defeat evil, I shall become an even GREATER evil.",Lelouch Lamperouge,general
That's interesting. Don't do it again.,Eucliwood Hellscythe,general
"If you want to change, don't wait for someone else to make it happen. Do it yourself.",Kawai Maria,general
The weaker you are the louder you bark.,Tenten,general
"When you're old, all you want to do is stare at the scenery. It's so strange. I've never felt so peaceful before.",Sophie Hatter,mindfulness
That's all it is: information. Even a simulated experience or a dream,Batou,motivation
"I feel confined, only free to expand myself within boundaries.",Motoko Kusanagi,general
*to Sophie* You're wearing that hat? After all the magic I used to make your dress pretty?,Howl,general
Playing is more important. You can work any time.,Zaraki Kenpachi,motivation
"If we all reacted the same way, we'd be predictable, and there's always more than one way to view a situation. What's true for the group is also true for the individual. It's simple: overspecialize, and you breed in weakness. It's slow death.",Motoko Kusanagi,grief
Sometimes violence is the only way to get the message across.,Eikichi Onizuka,general
"But am I... am I normal? I have strength. I can kill with my bare hands. I bleed red, but the pain always goes away quickly. Sometimes I see things in my head that never happened. I am a cyborg. I'll never be useful as anything else.",Henrietta,grief
"It's a bad habit of mine. When I concentrate on one thing, I forget other important things.",Tsukushi Makino,general
"Why do you get so cold when you're old? I'm fatter than ever, and yet, the wind blows right through me.",Sophie Hatter,general
"If you think about it, death really isn't so frightening. Who knows, you might actually enjoy it.",Karasu,grief
I will slay all my enemies.,Van Fanel,general
Babies aren't born after just 5 months!,Riza Hawkeye,general
Don't you want to hang out and waste your life with us?,Spike Spiegel,general
How could I forget? He's into dead girls.,Kagome Higurashi,general
Only a fool refuses a woman who offers herself.,Inuyasha,general
"Stop Whining! All I did was cut off your stupid legs! Summon your demons! Transform yourself! Regenerate your legs! Stand up! Pick up your gun and attack me! Do something! The night is still so young, and the real fun is yet to start! Hurry, hurry, hurry, HURRY!!!",Alucard,general
I am literally hemorrhaging generosity.,Kurosaki Ichigo,general
Fishing is a life and death struggle between man and fish. Forget this and you will most certainly get hurt.,Mugen,grief
"Like I always say, can't find a door? Make your own.",Edward Elric,general
"People can have lovers. They can have friends. They can be together. But when you think about it, you'll see that originally, we're alone.",Nana Osaki,grief
"Religion, ideology, resources, land, spite, love or just because. No matter how pathetic the reason, it's enough to start a war.",Pain,love
One guy's killed for killing another and then he's killed for killing him. How is that kind of twisted thinking ever gonna bring us peace?,Cagalli Yula Athha,mindfulness
I'm not defined by my abilities alone.,Kira Yamato,grief
Human nature pursues strife.,Pain,general
I can't develop feelings. That's how most idiots screw up.,Light Yagami,general
You got two legs and a heart beat. What's stopping you?,Inuyasha,love
"You're a strange one, all right. But having pride doesn't count for much if you're dead, you know?",Hige,general
"What you see isn't necessarily reality. Everyone has secrets, things they feel that they can't tell anyone. There's no such thing as a normal person.",Celty Sturluson,general
"Thanks for such a boring time, it was a blast!",Sohma Hiro,general
"The thing that we call power is dynamic, it keeps on changing.",Yasutora Sado,general
"Now I got some common sense for you,if I wore a tie, it wouldn't change who I am, if I had no piercings it wouldn't mean I'm nice, and if my hair was black it wouldn't stop me from kicking your ass!",Sohma Hatsuharu,general
"Dammit! I'm fine, I just stepped in a hole.",Sohma Kyo,general
Have you ever realized how insignificant your existence is on the planet?,Haruhi Suzumiya,general
All the girls in Konoha are so hot these days.,Jiraiya,general
She beat me like I owed her money.,Kurosaki Ichigo,general
I'm getting a litte bored of this curse of yours Ashitaka just let me cut the damn thing off.,Lady Eboshi,general
"Those who are bound, are bound wherever they go. And those who are free, are always free. Whoever you serve and wherever you live, if they are your own choices, you are free.",Sanada Yukimura,general
"The key is to be like the leaf, flow... with the movement of the gates. Airbending is all about spiral movements. When you meet resistance, you must be able to switch directions at a moments notice.",Tenzin,general
"You're the only ones who are gonna need a hospital. And for your sake, I hope there's one near by.",Korra,hope
"Her sword shines, a dream that all warriors  scattered in battle, past, present, and future, hold and mournfully exalt as their final moments approach. She carries their will as her pride, bidding them to remain steadfast in their loyalty.",Irisviel von Einzbern,motivation
"A soul naturally seeks pleasure, consciously or not.",Gilgamesh,happiness
"What must triumph here is the knight's path of chivalry that we champion. Is that not so, Heroic Spirit Arturia?",Lancer,general
"The weight of my sword is the weight of my pride. The wound from my battle with you is an honor, not a fetter.",Saber,general
Heroic Spirits... I want you to find a path to victory.,Rider,general
Are you selling soup or donkey piss?,Jigo,general
"Well, I give up. Can't win against fools.",Jigo,general
Ashitaka... can you save the girl you love?,Moro,love
"That curse will spread throughout your whole body, bone and flesh alike and finally kill you. Now leave this place at sunrise. Return and *I* shall kill you.",Moro,general
Life is suffering. It is hard. The world is cursed. But still you find reasons to keep living.,Lady Eboshi,depression
"You see everyone wants everything, that's the way the world is. But I just might actually get it.",Jigo,general
"Well, they say that happy women make a happy village.",Prince Ashitaka,happiness
"When you're going to kill a god, let someone else do your dirty work.",Jigo,motivation
"These days, there are angry ghosts all around us. Dead from wars, sickness, starvation, and nobody cares. So - you say you're under a curse. So what, so's the whole damn world.",Jigo,love
Cut off a wolf's head and it still has the power to bite.,Lady Eboshi,general
"Now watch closely, everyone. I'm going to show you how to kill a god. A god of life and death. The trick is not to fear him.",Lady Eboshi,grief
"*referring to his curse* Look, everyone! This is what hatred looks like! This is what it does when it catches hold of you! It's eating me alive, and very soon now it will kill me! Fear and anger only make it grow faster!",Prince Ashitaka,anxiety
Ugh! I smell like a human.,Moro,general
*when Lady Eboshi asks him what he's here for* To see with eyes unclouded by hate.,Prince Ashitaka,general
"Ah, you're awake. I was hoping you'd cry out in your sleep, then I would have bitten your head off to silence you.",Moro,general
Never beg and earn by winning or else you won't get anything.,Renton Thurston,general
"Hundreds of gallons of blood from all the people I've killed in the past, have seeped into this body.",Holland Novak,general
"Is this God's punishemt for falling in love with an angel? As the gossamer floats ever eluding my grasp, it weighs heavily upon my heart.",Talho Yuuki,love
"Whoever said one's first love is bittersweet, is a liar. It is only bitter.",Renton Thurston,love
Did you know? The world is full of hate and there isn't any reason for it?,Anemone,general
"If you don't believe in anything, it no longer has the power to hurt.",Eureka,grief
"Killing others is never justice, no matter what kind of noble cause one upholds.",Seishin Muroi,general
"By the time I noticed, so much time had passed that even my little sister would have died naturally already.",Sunako Kirishiki,grief
"The cold tears of a vampire, whose body is without warmth...",Yuuki Natsuno,general
Making someone I hate suffer feels really great!!,Megumi Shimizu,general
"Just like humans, approve killing animals in society, we, approve the killing of humans.",Mutou Tohru,general
"At first, everyone is disgusted. Afraid to bear the sin of killing people. Afraid to receive punishment for replenishing themselves with the life of another. But, once you realize that you won't be punished for killing people, you get used to the guilt pretty soon. The guilt of using humans for food. Aren't humans the same?",Mutou Tohru,general
You've just gained the privilege to kill.,Tatsumi,general
"People are such strange beings. The sad memories seem to just fade away, until all a person is left with are the happier ones. People are certainly designed so conveniently.",Eva Heinemann,depression
What exactly is the end? The end. The end. The end. I've seen the end over and over. What is the end?,Johann Liebert,general
"Don't just follow orders! You're men, not machines! In your hearts, you know what's right, the answer is sitting there, waiting for you. Are you brave enough to look inside yourselves?",Wolfgang Grimmer,love
"Doctor Tenma, for you all lives are created equal, that's why I came back to life. But you've finally come to realize it now, haven't you? Only one thing is equal for all, and that is death.",Johann Liebert,grief
"To win, but not destroy",Rider,general
"However, humans did not realize that truth no matter how high they staked their mountains of corpses. That's because in no matter what era the courageous and fearless great heroes have always bedazzled the eyes of the multitude with their splendid heroic legends. Because of the wistful actions of those idiots and their refusal to admit that bloodshed is by itself evil, the essence of humans has stayed on the same spot since the Stone Age!",Emiya Kiritsugu,anxiety
It's not that I'm on the side of humans. I just really don't like you guys.,Yuuki Natsuno,general
"Death is terrible for anyone. Young or old, good or evil, it's all the same. Death is impartial. There is no especially terrible death. That's why death is so fearsome. Your deeds, your age, your personality, your wealth, your beauty... They are all meaningless in the face of death.",Sunako Kirishiki,grief
"It must be the way you look, Vash the Stampede. Your very existence seems to cause me undue irritation.",Legato Bluesummers,general
"And to think, I could kill every man, woman and child here in the blink of an eye if I wanted to. The power of death is intoxicating.",Legato Bluesummers,grief
How did I pass? She beat me like I owed her money.,Kurosaki Ichigo,general
A man can't just live on carbohydrates alone...,Spike Spiegel,grief
"To Grell Sutcliff: Then, it's fine if you don't be careful on your way home. Rather, I'd prefer you walk through dangerous roads with your eyes closed.",Sebastian Michaelis,love
"[To Tamaki] Sleep first, then dream.",Kyoya Ootori,motivation
I'm okay with anything as long as it doesn't harm me.,Kyoya Ootori,general
There are always things more important than someone's dream...,Edward Elric,motivation
Our motto is to make use of our characteristics to answer customers' needs.,Kyoya Ootori,general
It's not that I missed. I missed on purpose.,Kouta Hirano,general
"(to Komuro Takashi) In a war like this, there is no surrender or shit like that.",Kouta Hirano,general
*to Rei Miyamoto* I'd be an actor if I could look happy right now.,Takashi Komuro,happiness
I'm getting wet!,Saeko Busujima,general
"We ran through our school that was filled with noises, screams, life and death.",Takashi Komuro,grief
"Stay the fuck back, you freak!",Saya Takagi,general
What the fuck is going on?!,Takashi Komuro,general
"Honestly, how meaningless.. For something called love, which has neither meaning nor form. Laughable, isn't it?",Sebastian Michaelis,happiness
"Wanting to be loved, for that sole obstinate reason, people can even go this far.",Sebastian Michaelis,love
I would be nothing without you.,Akihiko Usami,general
"Even if you hate it or whatever, I'll never let go of you. If you run away, I'll probably come after you and lock you up.",Akihiko Usami,general
"If you're going to modify me, at least turn me into a grasshopper man! Or a beetle! Or one of those imaginary freaks!",Itoshiki Nozomu,general
The biggest mistake in my life is that i was born!,Itoshiki Nozomu,general
"A Coma doesn't exist, it is a preparatory research for the next life.",Fuura Kafuka,general
"That morning's dawn was painted a beautiful scarlet, the likes of which I had never seen before. Like the color of Erza's hair, it was warm and passionate... If she could only lift her face a beautiful sky would be spread out before her.",Lucy Heartfilia,grief
Bury the pain of losing your loved ones... into the arms of your friends.,Erza Scarlet,grief
"Everyone has changed. That's not it. The one who's changed the most, is me.",Jinta Yadomi,general
"Ruin Myself, huh? I like it.",Ohana Matsumae,general
"Whenever I counted on someone, I ended up getting hurt.",Ohana Matsumae,grief
I don't want the precious time we have together to be taken away by anyone!,Akihiko Usami,general
To be able to stay beside a beloved one is the special privilege of a friend.,Akihiko Usami,love
"He is so twisted that if he sees someone wandering around lost, he's the kind of guy who will screw and toy around with the poor soul before he even bothers to help...IF he even bothers to help!",Misaki Takahashi,grief
"The moment you challenged me, you had already lost.",Akihiko Usami,grief
"I am not a person who only wants to receive things from him, I want to be the person who can give things to him.",Akihiko Usami,general
"I have a lot of different words desperately trying to get my message across. However, you, were able to pass on what you wanted to say with just a few of them.",Akihiko Usami,general
A person who can't even take care of himself has no right to have a pet.,Takafumi Yokozawa,love
I'm going to become the best manga editor anyone's ever seen! And then you can kiss your job goodbye!,Ritsu Onodera,general
You know... You like me more than you think you do.,Masamune Takano,mindfulness
Loving someone means entrusting all of yourself to that person.,Ritsu Onodera,hope
I'm going to make you say you love me again. Just you wait.,Masamune Takano,love
"No matter who I was with, I could never forget you.",Masamune Takano,general
"My heart was beating so fast, that one heart wasn't enough.",Ritsu Onodera,love
How much more love do you need for you to accept me?,Masamune Takano,love
Why you ask? That's the stupidest question I've ever heard.  The answer is obvious.  Because I want to! *to Misaki Takahashi*,Akihiko Usami,general
"To everything that comes near you, I am jealous.",Akihiko Usami,general
"It pisses me off... Like a knife, he violates me even through my ears.",Misaki Takahashi,general
I'm so happy I think I might die.,Misaki Takahashi,mindfulness
"I'll take fragments from the chaos of this world... and using the fountain of wisdom inside me, will reconstruct them into truth.",Victorique de Blois,wisdom
*about Grevil* He's the owner of the oddest hair in all of Sauville.,Victorique de Blois,general
*after seeing Grevil's unicorn hairstyle for the first time* I've never seen such a creative hairstyle!,Kazuya Kujō,general
You were chosen as a single fragment with which I will fill up my boredom.,Victorique de Blois,general
"As long as she's alive and well, that's all I hope for. I can't bear to see another woman die.",Inuyasha,hope
"[to Kagome, angry at her for saying she believes in him] You are nuts! This sword is good for nothing! Me, I'll live, I'm half demon. You though, you ain't got a chance.",Inuyasha,hope
"[to Sesshoumaru after he steals the Tetsuaiga] Blah, blah, blah. A guy gets his hands on a new sword, and already he's lookin' for a soap box to stand on and preach it to the world!",Inuyasha,general
"Half breed or full breed, to me it don't matter. But when you insult my mother, that's when I get angry. For her sake then if for nothing else... I'm gonna make you pay! [he jumps up and attacks Sesshoumaru, hitting him for the first time]",Inuyasha,general
My only ambition is simply to kill as many people as humanly possible.,Bankotsu,general
"I can't save you. I can't do anything to help you, except stay like this. If only I could stop time.",Inuyasha,general
"[after witnessing a small argument between Inuyasha and Kagome] Inuyasha, your patience with this creature is astonishing to me. You protect her, indulge her, even seem to love her.",Sesshomaru,love
"Inuyasha, after meeting you I renounced my postion as a shrine priestess. I became an ordinary woman. I longed to embrace you like this when I was alive...",Kikyo,general
"I can't compete with Kikyo, because, after all, I'm still alive",Kagome Higurashi,general
[about 500 feet behind InuYasha] I can see why being called a mutt by Koga would upset him... but now that I see him sitting there sniffing the ground he does look like a dog.,Shippou,general
Life itself is a frightening image for every human being... being strong in life isn't easy.,Miroku,general
"A wound of a heart is different from a flesh wound. Unlike a flesh wound, there are no ointments to heal it, and there are times when they never heal.",Yashamaru,love
It doesn't matter whether this world is crazy or not. It doesn't matter if this absurdity is real. It doesn't matter how messed up this place may be... I want to survive.,Ganta Igarashi,general
Being awesome is being nothing but yourself~,Shiro,general
"Justice comes from vengeance, but that justice only breeds more vengeance.",Pain,general
"Normally I hate people who whine all the time, but in your case... it would be okay to complain, be selfish and say what you want once in a while. It's okay to let yourself be sad.",Sohma Kyo,depression
"A conscience grows, just like the body. It's bred within your heart. That's why the shape of people's kindness is so different.",Honda Tohru,love
"If we're going to win, we might as well get the best deal out of it in the process.",Kyoya Ootori,general
"Use whatever is at hand, be it friend or foe.",Kyoya Ootori,general
"I humbly call the Gods of Harvest. Follow my wishes, leave none unfulfilled!",Izumo Kamiki,general
"No matter how much he wants it, he can't be a normal human anymore. *about Rin*",Yukio Okumura,general
"I dunno, getting rid of stuff that doesn't even exist... it's basically just counselling, isn't it?",Rin Okumura,general
"If you truly have the nerve to feel that way... then you should give yourself up to the order Headquarters, or just die please.",Yukio Okumura,general
"For the time being, all an idiot like me can do is to keep moving forward...",Rin Okumura,general
It is simply the duty of the elite to protect the ignorant masses.,Souryuu Asuka Langley,general
"Senpai, take me to the art museum again. Next time, I'll carefully listen to what you say. Please feed me worms!",Noda Megumi,love
You play like you're jacking off. [about Ryuu playing piano],Noda Megumi,general
The president did say please.,Takumi Usui,general
I'm not going there to die. I'm going there to find out if I'm really alive.,Spike Spiegel,general
Love and Peace!,Vash the Stampede,mindfulness
Never show your stupid self in public.,Kanade Maki,general
Don't do something wasteful as to wash your frustrations with tears. Your frustration is motivation that you can use to make yourself better. Hold it inside like it's an important thing!,Maria Momoe,hope
Mankind has no time left.,Shinji Ikari,general
Does a death wish cause you to talk to me that way?,Hiei,grief
I'm not fighting because I want to win. I'm fighting because I have to win.,Kurosaki Ichigo,general
The pain... the pleasure... and the shame all drive me crazy.,Misaki Takahashi,grief
I thought I could just apologize tomorrow. But that tomorrow... never came.,Jinta Yadomi,mindfulness
"I'll rip that mouth of yours apart, so you can never again utter such spells!",Reiji Shiratori,general
*chanting* Blessed be the Lord! For he hath heard the voice of my supplication. The Lord is my helper...and my protector. Thou shalt perish where thou standeth!,Fujimoto Shirou,general
"Fool! Next time you see the sun at night, know it's your last!",Yashiro Hoshimiya,general
I just want to keep looking at her.,Takumi Usui,general
It's my job to make school fun.,Eikichi Onizuka,general
Love is brightest in the dark.,Katara,depression
Isn't it lonely when you wake up and you don't hear any voices?,Nako Oshimizu,grief
"*to Ohana* You can't do everything by yourself!... But I can't do it by myself, either. I need your help.",Minko Tsurugi,general
I can hardly tell anymore where the truth ends and the lies begin.,Naota Nandaba,resilience
"Yes, it really﻿ was a fairy tale. A pretty girl reached out her hand to me and ... told me to die!",Ohana Matsumae,general
The moment you find the courage to give up your life for someone... Would be the moment you understand love.,Kenshin Himura,resilience
"I'm not going to lose. No matter how hard it is, I'm not going to run away. Watch me use this hand and capture the future!",Yukari Hayasaka,resilience
Even I... know what it's like to be jealous.,Sohma Shigure,general
It's fine. I'll work hard on my own.,Risa Koizumi,motivation
"Well, there's this one hopeless idiot... who'll probably end up crying if I see you again.",Atsushi Otani,depression
"Everytime Otani says or does something, I end up going to heaven, or hell.",Risa Koizumi,general
A comedienne is no match for an ex girlfriend.,Risa Koizumi,general
Don't be indecisive. Just go for it.,Atsushi Otani,general
This is straining my heartstrings.,Risa Koizumi,love
"Don't ever lie, even if it's about your feelings.",Misaki Ayuzawa,general
"I wish I could rewrite my past.. but I can't. If I could, I'd do all I could if it would stop you from crying. But.. that's impossible. My past won't change. That's why we need to make my past pale in comparison to our present.",Motoharu Yano,mindfulness
I'm a little grateful to you. I wonder if I'll forget these feelings too.,Misaki Ayuzawa,general
"It's fine, I'll come to save you as much as you want. I'll make you fall for me as much as you wish. Leave this to your master.",Takumi Usui,general
Enough. I've had enough. I'm dropping out.,Risa Koizumi,general
"Human memories are too vague. Thinking something has color when it doesn't, making things more dramatic than they really are, glorifying things... It gives new greater meaning than was actually there. That's why I don't believe any of this talk about ""beautiful memories"".",Motoharu Yano,mindfulness
"I love clichés, I love predictable scripts, I love it when they paste over problems and I love it when they force a happy ending too. What's wrong with working towards that?",Ryuugamine Mikado,motivation
"No, she's hiding something. But what could it be? Snacks? Guitar? Wait, maybe ton-chan.",Sawako Yamanaka,general
It's painful when you get disappointed by the person you look up to.,Misaki Ayuzawa,grief
I'll be waiting for you to get your asses back here!,Sawako Yamanaka,general
"Well, I won't be disappointed, no matter what you do.",Takumi Usui,general
"I guess I'm a girl who lacks self-awareness as one, or just too manly, eh?",Misaki Ayuzawa,general
"Usui, you perverted, outer spaceman human being!",Misaki Ayuzawa,general
I really don't get it. Why don't you tell her how you feel if you care for her so much? Why would you lie like that and keep yourself from pursuing her?,Soutarou Kanou,love
"I don't know much about you. You were the one who selfishly entered my world...yet you immediately plunged into silence. What were you thinking? Did you really pick on me just because it was fun? Which one is serious and which one of it is just a joke? That's enough now, making me all messed up like this.",Misaki Ayuzawa,mindfulness
"About Usui, I really don't know anything at all. It's mortifying... Yet I already don't want him to turn away.",Misaki Ayuzawa,general
"That's exactly the way it should be. Doing only unexpected things, otherwise, I'll lose my reputation as a perverted outer-space human.",Takumi Usui,general
"If it is with Ayuzawa, whatever I do, wherever I am, I am happy. So it's okay.",Takumi Usui,happiness
"I'm actually a hardcore otaku who likes maids more than having three meals a day. And I only read books related to maids. Also, I only visit maid cafes. Of course, I also collect maid figurines. I play games which feature female maids and it turns me on so much. Then I wear maid uniforms and jump in joy. I'll take my leave now.",Takumi Usui,resilience
I don't want others to hear the words that I've been waiting anxiously for... I want to be the only one to hear them.,Takumi Usui,anxiety
"It's okay, no need to thank me or say anything else. I will always be there for you, I will make you fall for me over and over again.",Takumi Usui,general
"Walking along the path that she chose, without being affected by others... in this sense, white is her color...in another sense, it also makes me want to put more colors on her.",Takumi Usui,general
"If you have money, life is the same no matter where you go. But if you don't have money, your life can adapt to where you are.",Balsa,general
"Ayuzawa, you are the first person ever to appear in my life and able to make me a mess.",Takumi Usui,general
How far do you want me to suppress myself so that you'll be satisfied?,Takumi Usui,general
Nothing amazing happens here. Only the ordinary.,Naota Nandaba,general
"...Watermelon. Or like a panda with a mean face, or like sandals with pressure points drawn on them, or the smell of a blackboard eraser, or a Sunday morning where you wake up and it's raining. Well, I like him more than hard bread.",Mamimi Samejima,resilience
"[a giant satellite bomb is headed towards the city] If that thing hits, do you think we'll have school tomorrow?",Mamimi Samejima,mindfulness
Please don't tell people our bakery's motorbike ran you over.,Haruko Haruhara,general
It takes an idiot to do cool things. That's why it's cool.,Haruko Haruhara,general
"Face it kid, I'm much too big of a guy for you to handle and you know it. Do you see how the very ground shakes beneath me feet?",Black Star,general
Can I shoot them now?,Death the Kid,general
"He's seriously crazy, he must be insane.",Maka Albarn,general
"Now you're suddenly in a big rush to go? What's the point in hurrying, we're already three hours late.",Elizabeth Thompson,general
"Black Star, it's over between us.",Soul Evans,general
*points at Black Star* What is that? Some kind of monkey? Yeah...it must be a monkey.,Elizabeth Thompson,general
The last time I let you do my eyebrows it took you a month.,Elizabeth Thompson,general
"That is why I prefer using you two pistols. There is symmetry to wielding you two, right? (Getting aggravated) But when you two are in human form, your hairstyles and your heights are completely different... (Grabs their breasts) Even your cup sizes are completely different!",Death the Kid,general
This guy's a special kind of stupid.,Death the Kid,general
Ooops....My finger slipped.,Death the Kid,general
"Man this guy is stupid, ugly and a bad shooter.",Death the Kid,general
You should quake in fear of your impending death.,Black Star,grief
"So, you don't like to get hit, huh? Well, you're about to have a very bad day.",Monkey D. Luffy,general
You're about to find out what it's like to fight a real super saiyan...and I'm not talking about Goku.,Trunks Brief,general
"This young girl, whose small body is only half the size of mine, has taught me that tears can flow from these silver eyes.",Teresa,general
Regrets are just a way for the foolish and the guilty to pass time.,Cho Hakkai,general
"Humans are creatures that dream. Different from others, they want to be special. They want to be adored by others, just like the heroes in comics and games, achieving great things with unique powers. Of course, no one ever believes deep down it will happen. Everyone knows there's no magic in this world.",Yoshiyuki Sakurai,motivation
D-mn! I just stepped in a pile of chiroptoran sh-t!,Saya Otonashi,general
Chicks dig guys in black.,Haji,general
"Saya, no matter what happens, do what you believe is right. Accept your past. And if you trip, remember nankurunasia. Live through today for tomorrow's sake.",George Miyagusuku,hope
"No matter what happens, you are still you...our family.",Kai Miyagusuku,general
"I'll do what I can, because I'm desperate.",Kai Miyagusuku,general
There is no guarantee that your dreams are just good ones.,Haji,motivation
There is only a fine line separating art from madness.,Nathan Mahler,general
"(In response to Seaman's question) When real men do what they're supposed to, it's not always about what they want.",Kazuma Kuwabara,general
"Ever since that day, I've kept this broom balanced on my fingertip.",Shiina,general
"She's an idiot, right?",Yui,general
"I'm pretty confident about my reflexes. And pretty strong too. I'm a guy after all. When the time comes, I can protect you even at the cost of my life.",Hideki Hinata,general
Crazy baby.,TK,general
[after masturbating over Asuka's comatose body] I'm so fucked up.,Shinji Ikari,general
Songs are good. Singing brings us joy. It is the highest point in the culture that Lilims have created.,Kaworu Nagisa,happiness
"My mind is being eaten away... Kaji-san, it's unravelling my mind! What do I do? It's defiling my mind!",Souryuu Asuka Langley,mindfulness
"[naked and smiling at Shinji] Hey Shinji, you idiot! Want to become of one mind and one body?",Souryuu Asuka Langley,mindfulness
I wonder how you're suppose to give up... Do I just decide to give up and act accordingly? And move further and further away from what my heart really wants? Then will I forget everything one day?.. Everything including the pain in my heart? Everything? Without a trace as if nothing was there to begin with?,Ayumi Yamada,grief
"It must really be a lonelier journey than anyone could imagine. Cutting through absolute darkness, encountering nothing but the occasional hydrogen atom. Flying blindly into the abyss, believing therein lie the answers to the mysteries of the universe.",Takaki Toono,depression
The things I had to tell her...The things I hoped she would listen to...There were so many of them.,Takaki Toono,hope
"Every minute felt like an eternity time, clearly as if it had malicious intent, slowly ebbed away from me, I clenched my teeth and keeping myself from crying was the only thing I could do...",Takaki Toono,general
Hey... They say it's five centimeters per second. *Takaki asks her what she means by that* The speed at which the sakura blossom petals fall... Five centimeters per second.,Akari Shinohara,grief
At what speed must I live...to be able to see you again..?,Takaki Toono,general
You are the most important person to me in the whole wide world.,Sakura Kinomoto,general
"Uhh.. Syaoran.. it's okay if you don't have any more feelings for me, that doesn't matter to me at all. But I'm in love with you and I just wanted you to know, that's all.",Sakura Kinomoto,love
Even if this feeling important to me disappears...I'll feel this way about you again.,Syaoran Li,general
"What a punchline, no... that was just a punch.",Arisawa Tatsuki,general
"Dammit, I'll show you who's more skilled with his language skills!",Kurosaki Ichigo,general
So he killed my father and murdered my people. That means nothing to me. Strength is the only thing that matters in this world. Everything else is just a delusion for the weak.,Vegeta,resilience
The interaction of men and women isn't very logical.,Ritsuko Akagi,general
"It's overpriced, but that's okay, HERE'S YOUR CHANGE!",Touji Suzuhara,general
"This is your home now, so make yourself comfortable. And take advantage of everything here, except me.",Misato Katsuragi,general
"Man fears the darkness, and so he scrapes away at the edges of it with fire. He creates life by diminishing the Darkness.",Rei Ayanami,depression
Survivability takes priority.,Misato Katsuragi,general
Understanding 100% of everything is impossible. That's why we spend all our lives trying to understand the thinking of others. That's what makes life so interesting.,Ryoji Kaji,mindfulness
"Up, up! Down, down! Left, right, left, right! Bringing the motherfucking death by Konami! Ahh I'm so fucking hard right now! [laughs]",Jan Valentine,grief
"Little Hellsing chicky, I'm coming to find you. Come out and play, little Hellsing. It's going to be a lot of fun. We just want to torture you, kill you, maybe skullfuck your corpse a couple of times, burn your house to the ground, go home, and masturbate, okay?",Jan Valentine,general
"Hey bitch, get off me! I'm supposed to be on top!",Jan Valentine,general
"Such a shame. I overestimated you. As a vampire, you were just a pathetic piece of shit. And now you're nothing but dog shit!",Alucard,general
I highly recommend pissing yourself followed by a course of praying to your impotent god.,Walter C. Dornez,general
A four-poster coffin. Bloody hell.,Seras Victoria,general
I'm surrounded by idiots.,Integra Hellsing,general
"You're too loud, Police Girl. I don't care if you're a vampire, you're still English. Have some manners.",Integra Hellsing,love
"Eat Harkonnen, bitch!",Seras Victoria,general
They're... eating my people!,Integra Hellsing,general
Immortality is wasted on the young.,Alucard,general
"Have you ever wondered, Master, what it feels like to be hunted?",Alucard,general
These monsters dare to enter this house built on blood and honor! I will see them all roast in the deepest pits of Hell!,Integra Hellsing,general
"Eternity is wasted upon the likes of you. Try as you might, immortality slips away. And you remain with only your shame.",Alucard,general
"Beautiful night, isn't it, Police Girl? It's especially beautiful, of course, if you're a bloodsucker.",Alucard,general
[clenches Fist] No matter how intelligent or how strong they are still nothing but vampire trash.,Integra Hellsing,general
"You are a fool who creates slaves to do your dirty work. A coward and an incompetent, incapable of doing anything on your own. You are not worthy of the lowest pits of Hell!",Alucard,motivation
[To Yubaba] I'm not leaving until you give me a job!,Chihiro Ogino,general
"It's just...a bad dream! Wake up, wake up...",Chihiro Ogino,motivation
[To Chihiro as she's sleeping] Meet me at the bridge. Come alone.,Haku,grief
